label,path,filename,sha256,file_size,is_elf,parse_failed,arch_aarch64,arch_arm,arch_x86,arch_x86_64,avg_string_len,entry_point,executable_sections,global_entropy,has_exec_stack,has_import_accept,has_import_bind,has_import_chmod,has_import_chown,has_import_chroot,has_import_clone,has_import_connect,has_import_creat,has_import_dlopen,has_import_dlsym,has_import_execv,has_import_execve,has_import_execvp,has_import_fork,has_import_getaddrinfo,has_import_gethostbyname,has_import_kill,has_import_listen,has_import_mkdir,has_import_mmap,has_import_mprotect,has_import_munmap,has_import_open,has_import_openat,has_import_popen,has_import_ptrace,has_import_recv,has_import_recvfrom,has_import_remove,has_import_rename,has_import_rmdir,has_import_send,has_import_sendto,has_import_setegid,has_import_seteuid,has_import_setgid,has_import_setuid,has_import_socket,has_import_system,has_import_unlink,has_import_vfork,has_rwx_segment,has_section_bss,has_section_data,has_section_dynamic,has_section_dynsym,has_section_interp,has_section_rodata,has_section_strtab,has_section_symtab,has_section_text,has_section_upx,has_str_base64,has_str_bin_bash,has_str_bin_sh,has_str_busybox,has_str_chmod,has_str_chown,has_str_cron,has_str_curl,has_str_dev_shm,has_str_etc_passwd,has_str_etc_shadow,has_str_http,has_str_https,has_str_iptables,has_str_ld_preload,has_str_netcat,has_str_proc,has_str_ssh,has_str_telnet,has_str_tmp_path,has_str_wget,has_upx,heuristic_score,is_static,is_stripped,max_section_entropy,max_string_len,mean_section_entropy,min_section_entropy,num_antidebug_imports,num_dynamic_symbols,num_filesystem_imports,num_ip_like_strings,num_memory_imports,num_network_imports,num_other_imports,num_path_like_strings,num_privilege_imports,num_process_imports,num_sections,num_segments,num_shell_like_strings,num_strings,num_symbols,num_url_strings,weird_section_names,writable_sections,zero_size_sections
0,samples/clean/clean_argument_echo,clean_argument_echo,674972aca279303d39eb55aebca27b51fcae908138125190cfcfa4ddcb709ffd,15976,1,0,0,0,0,1,12.945946,4192,0,1.535381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.281054,44,2.595692,0.0,0,7,0,0,0,0,3,1,0,0,31,13,0,74,43,0,0,0,1
0,samples/clean/clean_checksum,clean_checksum,cee9f518e2bf782aa3d03fd23612b160606ddb4855f213426b01b3a1e88abb26,16024,1,0,0,0,0,1,12.986842,4224,0,1.598377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.396694,44,2.624148,0.0,0,8,0,0,0,0,4,1,0,0,31,13,0,76,45,0,0,0,1
0,samples/clean/clean_fibonacci,clean_fibonacci,881ade8e05e07fb9897e5d0c7751799917b72a973386e2440159ff217d0eccf1,15976,1,0,0,0,0,1,12.753425,4192,0,1.525703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.260209,44,2.544527,0.0,0,7,0,0,0,0,3,1,0,0,31,13,0,73,43,0,0,0,1
0,samples/clean/clean_hello,clean_hello,35d2aeeb89ecf5b883a9de07f74b693bface7ad5f8ca74cc3658e3d0a9ff825f,15968,1,0,0,0,0,1,13.28,4192,0,1.508898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.124665,44,2.58712,0.0,0,7,0,0,0,0,3,1,0,0,31,13,0,75,43,0,0,0,1
0,samples/clean/clean_math,clean_math,9d795d86b949b915961edcf8c728aa8d77f90622236ac74b072413738d823433,16016,1,0,0,0,0,1,13.381579,4224,0,1.629733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.372074,45,2.650849,0.0,0,8,0,0,0,0,4,1,0,0,31,13,0,76,45,0,0,0,1
0,samples/clean/clean_prime_checker,clean_prime_checker,c3231ee40143a375a352a7004ceb8f04da7a25c507a455f75d8f9d33a4a1e209,16008,1,0,0,0,0,1,13.0,4192,0,1.573722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.40032,44,2.592989,0.0,0,7,0,0,0,0,3,1,0,0,31,13,0,74,44,0,0,0,1
0,samples/clean/clean_sort_numbers,clean_sort_numbers,094d75ccdde42c0c25ab9074833196d946241ded14558de53cc24ea6848edf65,16056,1,0,0,0,0,1,12.883117,4224,0,1.723991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.401023,44,2.604317,0.0,0,8,0,0,0,0,4,1,0,0,31,13,0,77,46,0,0,0,1
0,samples/clean/clean_state_machine,clean_state_machine,ced6a338e46b09170b651e608490640000b3565ad062569d6897318955c993ef,15976,1,0,0,0,0,1,12.958904,4192,0,1.513412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.26643,44,2.568898,0.0,0,7,0,0,0,0,3,1,0,0,31,13,0,73,43,0,0,0,1
0,samples/clean/clean_string_counter,clean_string_counter,501a8afdcdc1c655c723aa49ad0d8bbd976f19010c716f6ef75ceb23cf7cf043,16024,1,0,0,0,0,1,13.480519,4224,0,1.624051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.302992,44,2.647707,0.0,0,8,0,0,0,0,4,1,0,0,31,13,0,77,45,0,0,0,1
0,samples/clean/clean_table,clean_table,8e097191733bc6b2e463fd839c4c0ef244f881b8fbef698a58596cbfc749737c,15968,1,0,0,0,0,1,12.415584,4192,0,1.50792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5.135374,44,2.586072,0.0,0,7,0,0,0,0,3,1,0,0,31,13,0,77,43,0,0,0,1
